epoch,train_loss,val_loss
1,0.46818805877476527,0.250161307986663
2,0.19973305081518059,0.17572734376690577
3,0.15318767266978506,0.20182872934149965
4,0.1304646627929976,0.11316593618531683
5,0.11346399797336826,0.10947106985909846
6,0.10234826523830318,0.0997149274448809
7,0.09542172364006846,0.092958004520663
8,0.09270712859907877,0.08993339599545977
9,0.08428391858197176,0.09529908361816614
10,0.08067358168308177,0.08088160226168792
11,0.07810891651387125,0.08169218903461933
12,0.07399121757948966,0.07419590463696621
13,0.07148006701638232,0.07267126810634301
14,0.06896976753687964,0.06961463721754328
15,0.06718176254274406,0.06539467167194545
16,0.06367627698320863,0.06340311736424716
17,0.06454944373840045,0.0657492536986446
18,0.06241382338033698,0.06512878323689525
19,0.06093769640396289,0.05842827052539617
20,0.05849377470042891,0.05720511703478333
