"An opponent of the policies of Andrew Jackson, he was the first member of the Whig Party to be elected governor of Tennessee.","Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Léopoldopold III of the Belgians."
"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.","Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of the King Léopold III of the Belgians."
"He won directing Emmys for his work on the original 1854 CBS teleplay, Twelve Angry Men.","Mary Lilian Baels (November 28, 1916 - June 11, 2002), best known as Princess de Ruthy, was the controversial morganatic second wife of King Léopold III of the Belgians."
"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.","Mary Lilian Baels (November 28, 1916 - June 17, 2002), best known as Princess de Ruthy, was the controversial morganatic second wife of King Léopold III of the Belg rights."
He is a sharp shooter from the three point range and also a very accurate free throw shooter.,"Mary Lilian Baels (November 28, 1916 - June 17, 2002) best known as Princess de Ruthy, the controversial morganatic second wife of King Léopold III of the Belgians."
"But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.","After this initial success, Ford left on to win, with the Edison Illuminating Company, 1898-1899, and to a recordings in 1900 with Rep.3.ingent, his had's Belg rights to her."
"They founded the town of Portsmouth, Rhode Island.","Mary Lilian Baels (November 28, 1916 - June 11, 2002), best known as Princess de Ruthy, the controversial morganatic second wife of King Léopold III of the Belgians."
"Peter Sydney Lawford (September 7, 1923 - December 24, 1984) was a Hollywood actor and member of Frank Sinatra's ""Rat Pack,"" more noted for his off-screen activities as a celebrity than for his acting.","Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Léopoldopold III of the Belgians."
"Keynes (pronounced ""Canes"") was born in London, the eldest son of Geoffrey Keynes, and thus the nephew of the economist John Maynard Keynes; and Geoffrey Keynes' wife Elizabeth (nee Darwin), the grand-daughter of Charles Darwin, and thus the great-grandson of Charles Darwin (see Darwin -- Wedgwood family).","Mary Lilian Baels (November 28, 1916 - June 7, 2002) was best known as Princess de Ruthy, the controversial morganatic second wife of King Léopoldopold III of the Belgians."
"Lisa Marie Presley (born February 1, 1968 in Memphis, Tennessee) is an American singer, daughter of the singer Elvis Presley and his wife Priscilla Beaulieu.","Mary Lilian Baels (November 28, 1916 - June 17, 2002) best known as Princess de Ruthy, the controversial morganganatic second wife of King Léopold III of the Belgians."
"After his discharge in 1919, Bush went to work for the Simmons Hardware Company in St. Louis, Missouri.","Mary Lilian Baels (November 28, 1916 - June 17, 2002), best known as Princess de Ruthy, was the controversial morganatic second wife of King Léopold III of the Belgians."
It's all a rather shapeless good time...,"Mary Lilian Baels (November 28, 1916 - June 11, 2002), best known as Princess de Ruthy, was the controversial morganatic second wife of King Léopold III of the Belgians."
"But the talented cast alone will keep you watching, as will the fight scenes.","Mary Lilian Baels (November 28, 1916 - June 17, 2002), best known as Princess de Ruthy, was the controversial morganatic second wife of King Léopold III of the Belgians."
